绝地求生：刺激战场	腾讯		8.8	669.17MB	2018年2月9日	67752	吃鸡,绝地求生,多人联机,生存,虚幻4,pubg,射击,第一人称射击,枪战,FPS,中文,多人对战,刺激,多人在线,PVP,多人,联网,动作,竞技
							
香肠派对（测试服）	厦门真有趣信息科技有限公司	479660人关注	8.3	415.15MB	2018年2月9日	6418	吃鸡,多人联机,求生,射击,第三人称,生存,多人对战,联机,多人,枪战,中文,刺激,合作,多人在线,动作,3D,开放世界,角色扮演,有毒
							
绝地求生 全军出击	腾讯		7.1	885.85MB	2018年2月13日	39636	吃鸡,绝地求生,多人联机,高画质,pubg,第一人称射击,射击,真实,多人对战,枪战,FPS,生存,刺激,多人在线,中文,联机,组队,多人,国产,动作
							
死亡日记2	北京乐动卓越科技有限公司	331748人安装	7.2	82.77MB	2017年12月27日	1568	生存,丧尸,多人,文字,求生,冒险,剧情,末日,恐怖,中文,角色扮演,英文
							
猫和老鼠官方手游	网易游戏	136954人安装	6	148.97MB	2018年2月11日	951	动作,多人,街机,竞速,联机,跑酷,逃生,生存
							
我的世界	网易游戏	2654511人安装	7.9	183.77MB	2018年1月24日	22048	联机,多人,沙盒,开放世界,生存,像素,自由,创造,建造,冒险,建筑,MC,角色扮演,正版,模拟,合作,探索,联网,经典,局域网联机
							
长生劫-盗墓长生印	北派游戏工作室	763090人安装	9.7	95.82MB	2018年1月30日	20139	生存,单机,盗墓,解谜,独立游戏,RPG,冒险,UP主推荐,文字,策略,中文,角色扮演,重度,竖屏,联网
							
创造与魔法	北京游帮科技有限公司	511065人安装	7.5	374.50MB	2018年2月5日	6445	生存,开放世界,多人,自由,联机,创造,沙盒,建造,联网,经营,养成,RPG
							
终结者2：审判日	网易游戏	8306729人安装	8.3	667.46MB	2018年2月9日	56450	吃鸡,多人联机,生存,射击,联机,多人在线,多人,自由,刺激,第三人称,中文,动作,枪战,团队合作,逃生,第三视角,模拟,多人对战,网游
							
众生	边境游戏工作室	54407人预约	9.5	52.65MB	2017年12月26日	17927	真实模拟,养成,高自由度,生存,单机,人生,模拟,文字,独立游戏,手绘画风,黑白,有毒,中文,极简,自由,策略,独立,国产
							
我的世界	网易游戏	2654511人安装	7.9	183.77MB	2018年1月24日	22048	联机,多人,沙盒,开放世界,生存,像素,自由,创造,建造,冒险,建筑,MC,角色扮演,正版,模拟,合作,探索,联网,经典,局域网联机
							
终结者2：审判日	网易游戏	8306729人安装	8.3	667.46MB	2018年2月9日	56450	吃鸡,多人联机,生存,射击,联机,多人在线,多人,自由,刺激,第三人称,中文,动作,枪战,团队合作,逃生,第三视角,模拟,多人对战,网游
							
超车小能手	具勇虎	214170人安装	5.6	111.98MB	2018年2月10日	406	驾驶,赛车,模拟,单机,竞速,刺激
							
旅行青蛙	Hit-Point Co.,Ltd.		9.4	46.37MB	2018年2月6日	23440	可爱,宠物,日文,单机,放置,治愈,休闲,养老,经营,模拟,有毒,收集,手绘,竖屏,UP主推荐,时间杀手
							
众生	边境游戏工作室	54407人预约	9.5	52.65MB	2017年12月26日	17927	真实模拟,养成,高自由度,生存,单机,人生,模拟,文字,独立游戏,手绘画风,黑白,有毒,中文,极简,自由,策略,独立,国产
							
穿越火线-枪战王者	腾讯	2478257人安装	7.7	796.01MB	2018年2月2日	9760	第一人称射击,吃鸡,联机,FPS,多人,cf,腾讯,开黑,多人对战,中文,生化,手柄,内购,PVP,团队合作,模拟,第三人称,多人联机,3D,TPS
							
僵尸作战模拟	illusiveray	237088人关注	9.3	182.83MB	2018年2月5日	2113	联机,射击,僵尸,模拟,局域网联机,多人,第三人称射击,生存,沙盒,中文,动作,游戏性测试,第三人称,丧尸
							
猫咪挂机	厦门勇仕网络技术有限公司	165538人安装	6.9	70.61MB	2018年2月11日	748	猫,模拟,可爱,单机,挂机,放置,益智,冒险
							
买房记	郑昉	910064人安装 | 430953人关注	9	23.06MB	2017年12月6日	7983	模拟经营,经营,文字,单机,UP主推荐,敖厂长,模拟,休闲,益智,放置,中文
							
迷雾大陆	龙渊网络	95288人安装 | 25521人预约	7.1	118.85MB	2018年2月9日	1253	建造,SLG,养成,卡牌,策略,模拟,收集,放置,联网
							
绝地求生：刺激战场	腾讯		8.8	669.17MB	2018年2月9日	67752	吃鸡,绝地求生,多人联机,生存,虚幻4,pubg,射击,第一人称射击,枪战,FPS,中文,多人对战,刺激,多人在线,PVP,多人,联网,动作,竞技
							
香肠派对（测试服）	厦门真有趣信息科技有限公司	479663人关注	8.3	415.15MB	2018年2月9日	6418	吃鸡,多人联机,求生,射击,第三人称,生存,多人对战,联机,多人,枪战,中文,刺激,合作,多人在线,动作,3D,开放世界,角色扮演,有毒
							
绝地求生 全军出击	腾讯		7.1	885.85MB	2018年2月13日	39636	吃鸡,绝地求生,多人联机,高画质,pubg,第一人称射击,射击,真实,多人对战,枪战,FPS,生存,刺激,多人在线,中文,联机,组队,多人,国产,动作
							
荒野行动	网易游戏	12393001人安装	8	606.54MB	2018年2月9日	102784	吃鸡,枪战,多人联机,多人对战,多人在线,组队,中文,合作,射击,第三人称,多人,动作,联网,竞技,第一人称射击,国产,狙击,对战,UP主推荐
							
楚留香	网易游戏	1886944人安装	7.4	354.88MB	2018年1月26日	28811	高自由度,MMORPG,武侠,画质党,捏人,高画质,中国风,剧情,联机,古风,角色扮演,3D,MMO,风景党,网游,多人在线,RPG,动作,联网,大型
							
元气骑士	凉屋游戏	5264503人安装	9.7	39.04MB	2018年2月2日	26949	局域网联机,地牢,Roguelike,像素,UP主推荐,射击,有毒,中文,时间杀手,动作,本地联机,内购,RPG,手柄,角色扮演,弹幕,国产,收集,冒险,联网
							
猫和老鼠官方手游	网易游戏	136954人安装	6	148.97MB	2018年2月11日	951	动作,多人,街机,竞速,联机,跑酷,逃生,生存
							
崩坏3	miHoYo	5848436人安装	8.7	1.06GB	2018年2月7日	47648	二次元,高画质,美少女,打击感,3D,动作,肝,ACG,养成,战斗,百合,日系,SSR,网游,中文,玄学,多人,优美,联网,国产
							
终结者2：审判日	网易游戏	8306729人安装	8.3	667.46MB	2018年2月9日	56450	吃鸡,多人联机,生存,射击,联机,多人在线,多人,自由,刺激,第三人称,中文,动作,枪战,团队合作,逃生,第三视角,模拟,多人对战,网游
							
镜界	Lemon Jam Studio		7.8	42.39MB	2017年10月30日	690	街机,动作,闯关,单机,中文,角色扮演,横版
							
香肠派对（测试服）	厦门真有趣信息科技有限公司	479665人关注	8.3	415.15MB	2018年2月9日	6418	吃鸡,多人联机,求生,射击,第三人称,生存,多人对战,联机,多人,枪战,中文,刺激,合作,多人在线,动作,3D,开放世界,角色扮演,有毒
							
绝地求生 全军出击	腾讯		7.1	885.85MB	2018年2月13日	39636	吃鸡,绝地求生,多人联机,高画质,pubg,第一人称射击,射击,真实,多人对战,枪战,FPS,生存,刺激,多人在线,中文,联机,组队,多人,国产,动作
							
楚留香	网易游戏	1886944人安装	7.4	354.88MB	2018年1月26日	28811	高自由度,MMORPG,武侠,画质党,捏人,高画质,中国风,剧情,联机,古风,角色扮演,3D,MMO,风景党,网游,多人在线,RPG,动作,联网,大型
							
王者荣耀	腾讯	5866515人安装	5.4	768.56MB	2018年2月8日	58936	多人对战,MOBA,联机,5v5,中文,开黑,多人,推塔,剧毒,PVP,英雄,团队协作,横版
							
猫和老鼠官方手游	网易游戏	136954人安装	6	148.97MB	2018年2月11日	951	动作,多人,街机,竞速,联机,跑酷,逃生,生存
							
我的世界	网易游戏	2654511人安装	7.9	183.77MB	2018年1月24日	22048	联机,多人,沙盒,开放世界,生存,像素,自由,创造,建造,冒险,建筑,MC,角色扮演,正版,模拟,合作,探索,联网,经典,局域网联机
							
QQ飞车	腾讯	2003361人安装	7.4	656.40MB	2018年2月8日	19793	竞速,漂移,联机,飙车,回忆,3D,中文,休闲,炫酷,联网,经典,网络工具,青春,组队,竞技,社交,应用,对战,多人联机
							
决战！平安京	网易游戏	1183202人安装	7.3	666.29MB	2018年2月8日	21095	MOBA,联机,和风,角色扮演,多人,3D,日系,多人联机,中文,UP主推荐,第三人称,CV控
							
创造与魔法	北京游帮科技有限公司	511065人安装	7.5	374.50MB	2018年2月5日	6446	生存,开放世界,多人,自由,联机,创造,沙盒,建造,联网,经营,养成,RPG
							
终结者2：审判日	网易游戏	8306729人安装	8.3	667.46MB	2018年2月9日	56450	吃鸡,多人联机,生存,射击,联机,多人在线,多人,自由,刺激,第三人称,中文,动作,枪战,团队合作,逃生,第三视角,模拟,多人对战,网游
							
